id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Garry;Pacocha;Savannah.Schulist89@yahoo.com;frustration clove;2024-04-04T16:54:15;15547;20121
2;Tevin;Homenick;Paula11@hotmail.com;onto keen;2024-04-04T14:53:18;21974;6521
3;Casey;Hoeger;Sunny.Murray@yahoo.com;lobotomise frankly;2024-04-04T19:46:23;30722;20821
4;Lorenz;Huel;Garrison70@yahoo.com;luxurious gah;2024-04-04T21:41:44;22094;25041
5;Lucinda;Miller;Isom_Green89@hotmail.com;queasy impeccable;2024-04-05T07:18:10;30044;15490
6;Sister;Beatty;Florida.Swaniawski-Rogahn@hotmail.com;ha;2024-04-04T18:27:04;1143;4611
7;Candida;Lesch;Abagail_Swift76@yahoo.com;lamb foolishly;2024-04-05T03:41:40;3608;32561
8;Zoe;Kutch;Reta1@gmail.com;enshroud;2024-04-04T18:12:29;19093;11665
9;Lilliana;Wiza;Amelie30@gmail.com;meh prevail zowie;2024-04-04T17:57:34;13905;2996
10;Camden;Schulist;Eriberto67@yahoo.com;fatally consequently;2024-04-04T23:14:36;7052;31926
